amount_purchased_shop_1,amount_purchased_shop_2,amount_purchased_shop_3,amount_purchased_shop_4,amount_purchased_shop_5,clusters
803.968,6747.733,0.0,0.0,0.0,0
395.004,848.526,50.932,0.0,6525.757,3
120.226,582.939,25.004,0.0,1060.444,2
99.948,13.442,628.648,0.0,937.482,2
0.0,2.903,15.019,0.0,0.0,2
1996.825,4199.332,124.429,0.0,25.799,0
47.157,0.0,0.0,0.0,0.0,2
95.011,6577.919,266.427,0.0,0.0,0
7532.674,9712.388,0.0,0.0,0.0,0
882.567,7551.109,0.334,0.0,0.0,0
94.189,162.305,57.736,0.0,6018.039,3
12311.519,5807.68,206.033,584.042,82.643,6
837.712,4003.459,0.0,0.0,0.0,1
217.172,0.0,0.0,0.0,0.0,2
3065.78,1884.735,0.0,0.0,0.0,2
2225.78,50.475,311.0,0.0,6170.216,3
222.804,0.0,0.0,0.0,0.0,2
12.731,0.0,122.605,0.0,0.0,2
10198.022,30.684,44.263,175.125,0.0,6
0.0,92.043,0.0,2.137,0.0,2
811.739,1405.972,0.0,0.0,0.0,2
12584.548,72.844,41.029,0.0,0.0,6
3932.126,22.969,20.753,40.838,22.84,6
153.351,0.0,0.0,0.0,0.0,2
0.0,238.953,0.0,0.0,0.0,2
243.941,4884.874,0.0,0.0,0.0,2
516.375,0.0,0.0,0.0,0.0,2
0.0,3808.51,0.0,0.0,0.0,2
76.027,20.938,0.0,0.0,0.0,2
339.83398,16.834,0.0,0.0,0.0,2
7966.649,150.108,50.92,0.0,1129.722,6
15128.884,8235.923,0.0,0.0,0.0,6
2.802,0.0,0.0,0.0,0.0,2
0.0,1142.03,0.0,0.0,0.0,2
997.955,1843.481,0.0,0.0,7.505,2
456.702,8711.971,0.0,0.0,0.0,0
0.0,42.224,20.946,0.0,0.0,2
882.776,414.289,0.0,1057.566,0.0,2
0.0,17.218,0.0,0.0,0.0,2
9250.868,442.578,0.0,0.0,0.0,6
10466.068,2130.181,0.0,0.0,0.0,6
26.603,0.0,0.0,14.212,0.0,1
1060.547,371.635,0.0,0.0,0.0,2
0.0,3576.24,1610.57,235.936,0.0,2
0.0,0.0,0.0,21.457,0.0,2
6432.962,12.439,0.0,0.0,0.0,6
0.0,53.993,0.0,3222.363,0.0,5
21.143,0.0,0.0,107.707,0.0,2
0.0,0.0,0.0,5996.741,0.0,5
0.0,4269.813,0.0,0.0,47.993,2
10.88,9.723,0.0,0.0,0.0,2
624.86,503.314,256.119,1459.133,0.0,2
104.287,178.708,0.0,8670.956,0.0,5
1900.255,0.0,18.855,6.345,0.0,2
0.0,0.0,5.945,0.0,0.0,2
1130.127,9466.923,0.0,0.0,0.0,0
320.721,6.224,0.0,3.796,0.0,1
2672.433,137.236,2.137,158.131,0.0,2
149.367,581.827,28.385,0.0,0.0,2
1639.404,269.692,71.675,0.0,0.0,2
5475.558,3773.7239,13.773,0.0,0.0,6
2160.181,4392.276,0.0,0.0,0.0,0
9396.933,764.383,35.734,0.0,88.196,6
684.025,0.0,0.0,0.0,0.0,2
335.413,15.42,0.0,0.0,0.0,2
49.347,99.657,0.82,0.0,8.313,2
4029.268,103.598,0.0,0.0,0.0,2
789.63,65.999,0.0,0.0,0.0,2
243.067,974.713,0.0,0.0,16.56,1
0.0,10.412,0.0,0.0,0.0,2
22.427,2588.123,0.0,0.0,0.0,2
622.55597,57.013,0.0,7489.467,0.0,5
0.0,0.0,7638.494,0.0,0.0,4
0.0,1095.665,327.14,0.0,0.0,2
0.0,259.963,0.0,0.0,0.0,2
95.014,2230.215,0.0,0.0,0.0,2
0.0,8.197,0.0,0.0,0.0,2
